ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,07,61,1º Ano,6874,6645,229,96.7,91.7
2013,07,62,2º Ano,6404,5991,413,93.6,91.7
2013,07,63,3º Ano,7530,6007,1523,79.8,92.4
2013,07,64,4º Ano,6865,6221,644,90.6,92.5
2013,07,65,5º Ano,7005,6444,561,92,91.7
2013,07,66,6º Ano,8247,6694,1553,81.2,93.9
2013,07,67,7º Ano,6834,5798,1036,84.8,93.5
2013,07,68,8º Ano,6314,5417,897,85.8,93.2
2013,07,69,9º Ano,5339,5017,322,94,92.9
2013,07,76,4º Ano - NCM,1930,1410,520,73.1,90.6
2013,07,77,7º Ano - NJM,1164,1055,109,90.6,91
2013,07,81,Realfabetização 1,1049,693,356,66.1,89.1
2013,07,83,Realfabetização 2,247,202,45,81.8,86.4
2013,07,84,Aceleração 1,262,239,23,91.2,88.2
2013,07,87,Aceleração 2A,346,336,10,97.1,94.9
2013,07,89,Aceleração 3,356,352,4,98.9,95
2013,07,99,Total,66766,58521,8245,87.7,92.5
