ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,09,61,1º Ano,5266,5212,54,99,93
2013,09,62,2º Ano,5049,4967,82,98.4,93.7
2013,09,63,3º Ano,5932,5165,767,87.1,94
2013,09,64,4º Ano,6541,6181,360,94.5,93.2
2013,09,65,5º Ano,5815,5641,174,97,93.2
2013,09,66,6º Ano,6767,5764,1003,85.2,94.2
2013,09,67,7º Ano,5514,4898,616,88.8,94.5
2013,09,68,8º Ano,5729,5124,605,89.4,93.4
2013,09,69,9º Ano,4706,4496,210,95.5,93.7
2013,09,76,4º Ano - NCM,840,719,121,85.6,89.9
2013,09,77,7º Ano - NJM,1056,953,103,90.2,91.2
2013,09,81,Realfabetização 1,806,512,294,63.5,91.6
2013,09,83,Realfabetização 2,98,96,2,98,90.3
2013,09,84,Aceleração 1,170,164,6,96.5,91.7
2013,09,87,Aceleração 2A,272,272,,100,97.1
2013,09,89,Aceleração 3,111,110,1,99.1,97.3
2013,09,99,Total,54672,50274,4398,92,93.4
