ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,05,61,1º Ano,4197,4068,129,96.9,91.1
2013,05,62,2º Ano,4058,3949,109,97.3,92.2
2013,05,63,3º Ano,4968,4129,839,83.1,92.5
2013,05,64,4º Ano,5029,4496,533,89.4,93.1
2013,05,65,5º Ano,5315,5072,243,95.4,93.4
2013,05,66,6º Ano,5737,4906,831,85.5,94.4
2013,05,67,7º Ano,4861,4284,577,88.1,94.3
2013,05,68,8º Ano,5074,4510,564,88.9,93.9
2013,05,69,9º Ano,4334,4149,185,95.7,93.6
2013,05,76,4º Ano - NCM,291,255,36,87.6,91.5
2013,05,77,7º Ano - NJM,1001,890,111,88.9,91.4
2013,05,81,Realfabetização 1,442,297,145,67.2,89.9
2013,05,83,Realfabetização 2,129,112,17,86.8,86.8
2013,05,84,Aceleração 1,121,102,19,84.3,91.4
2013,05,87,Aceleração 2A,235,224,11,95.3,96.1
2013,05,89,Aceleração 3,443,436,7,98.4,97.1
2013,05,99,Total,46235,41879,4356,90.6,92.8
