ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,02,61,1º Ano,4155,3998,157,96.2,91.6
2013,02,62,2º Ano,3494,3360,134,96.2,89.9
2013,02,63,3º Ano,4416,3534,882,80,90.1
2013,02,64,4º Ano,4138,3667,471,88.6,90.3
2013,02,65,5º Ano,4855,4523,332,93.2,90.1
2013,02,66,6º Ano,5011,3832,1179,76.5,92.5
2013,02,67,7º Ano,4003,3327,676,83.1,93.4
2013,02,68,8º Ano,3802,3338,464,87.8,93.6
2013,02,69,9º Ano,3191,3033,158,95,93.7
2013,02,76,4º Ano - NCM,549,440,109,80.1,90.9
2013,02,77,7º Ano - NJM,843,792,51,94,90.9
2013,02,81,Realfabetização 1,521,392,129,75.2,89.2
2013,02,83,Realfabetização 2,179,131,48,73.2,79.2
2013,02,84,Aceleração 1,161,138,23,85.7,90
2013,02,87,Aceleração 2A,445,436,9,98,95.2
2013,02,89,Aceleração 3,402,396,6,98.5,96.1
2013,02,99,Total,40165,35337,4828,88,92.3
