ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,10,61,1º Ano,6666,6462,204,96.9,93.3
2013,10,62,2º Ano,6566,6444,122,98.1,93.9
2013,10,63,3º Ano,7972,6567,1405,82.4,94.2
2013,10,64,4º Ano,8625,7847,778,91,94.6
2013,10,65,5º Ano,7528,7174,354,95.3,94.8
2013,10,66,6º Ano,7859,6524,1335,83,94.4
2013,10,67,7º Ano,7914,6958,956,87.9,93.9
2013,10,68,8º Ano,6732,6024,708,89.5,94.1
2013,10,69,9º Ano,5605,5292,313,94.4,94
2013,10,76,4º Ano - NCM,447,341,106,76.3,92.9
2013,10,77,7º Ano - NJM,446,369,77,82.7,90.6
2013,10,81,Realfabetização 1,1007,721,286,71.6,91.2
2013,10,83,Realfabetização 2,402,357,45,88.8,89.4
2013,10,84,Aceleração 1,122,100,22,82,91.6
2013,10,87,Aceleração 2A,231,231,,100,97.7
2013,10,89,Aceleração 3,573,567,6,99,96.6
2013,10,99,Total,68695,61978,6717,90.2,93.9
