ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,08,61,1º Ano,5642,5474,168,97,92.1
2013,08,62,2º Ano,5725,5537,188,96.7,93.3
2013,08,63,3º Ano,6965,5601,1364,80.4,93.2
2013,08,64,4º Ano,6580,5971,609,90.7,93.5
2013,08,65,5º Ano,6934,6596,338,95.1,92.8
2013,08,66,6º Ano,7796,6080,1716,78,93.1
2013,08,67,7º Ano,6343,5281,1062,83.3,93.1
2013,08,68,8º Ano,5600,4912,688,87.7,93.1
2013,08,69,9º Ano,5239,4870,369,93,93.1
2013,08,76,4º Ano - NCM,728,604,124,83,92
2013,08,77,7º Ano - NJM,1295,1139,156,88,91.3
2013,08,81,Realfabetização 1,1028,669,359,65.1,90
2013,08,83,Realfabetização 2,270,216,54,80,87.9
2013,08,84,Aceleração 1,130,109,21,83.8,88.4
2013,08,87,Aceleração 2A,376,350,26,93.1,95.9
2013,08,89,Aceleração 3,701,676,25,96.4,95.8
2013,08,99,Total,61352,54085,7267,88.2,92.9
