ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,11,61,1º Ano,1172,1133,39,96.7,91.5
2013,11,62,2º Ano,1151,1127,24,97.9,92.6
2013,11,63,3º Ano,1424,1204,220,84.6,92.3
2013,11,64,4º Ano,1475,1386,89,94,93.5
2013,11,65,5º Ano,1293,1229,64,95.1,93
2013,11,66,6º Ano,1706,1383,323,81.1,93
2013,11,67,7º Ano,1332,1175,157,88.2,93
2013,11,68,8º Ano,1299,1161,138,89.4,92.8
2013,11,69,9º Ano,1095,1053,42,96.2,92.4
2013,11,76,4º Ano - NCM,145,85,60,58.6,90.9
2013,11,77,7º Ano - NJM,138,131,7,94.9,93.7
2013,11,81,Realfabetização 1,96,72,24,75,89.7
2013,11,83,Realfabetização 2,24,22,2,91.7,89.4
2013,11,84,Aceleração 1,15,15,,100,96.9
2013,11,87,Aceleração 2A,21,11,10,52.4,94.9
2013,11,89,Aceleração 3,85,81,4,95.3,96.4
2013,11,99,Total,12471,11268,1203,90.4,92.3
