ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,06,61,1º Ano,3533,3461,72,98,92.5
2013,06,62,2º Ano,3319,3255,64,98.1,92.9
2013,06,63,3º Ano,3872,3282,590,84.8,93.5
2013,06,64,4º Ano,3958,3597,361,90.9,94.3
2013,06,65,5º Ano,4159,3914,245,94.1,94.4
2013,06,66,6º Ano,4026,3613,413,89.7,95.1
2013,06,67,7º Ano,3536,3196,340,90.4,94.1
2013,06,68,8º Ano,3011,2796,215,92.9,94.7
2013,06,69,9º Ano,2676,2583,93,96.5,94.4
2013,06,76,4º Ano - NCM,440,332,108,75.5,92
2013,06,77,7º Ano - NJM,305,264,41,86.6,88.9
2013,06,81,Realfabetização 1,421,296,125,70.3,89.5
2013,06,83,Realfabetização 2,82,66,16,80.5,90.8
2013,06,84,Aceleração 1,88,82,6,93.2,93.1
2013,06,87,Aceleração 2A,235,226,9,96.2,97.5
2013,06,89,Aceleração 3,236,230,6,97.5,97.3
2013,06,99,Total,33897,31193,2704,92,93.7
