ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,03,61,1º Ano,4291,4158,133,96.9,91
2013,03,62,2º Ano,4090,3990,100,97.6,92.1
2013,03,63,3º Ano,4605,3852,753,83.6,92.5
2013,03,64,4º Ano,5119,4612,507,90.1,93.3
2013,03,65,5º Ano,4087,3849,238,94.2,93.4
2013,03,66,6º Ano,5406,4231,1175,78.3,93.8
2013,03,67,7º Ano,4100,3580,520,87.3,93.5
2013,03,68,8º Ano,3751,3331,420,88.8,93.4
2013,03,69,9º Ano,3140,2995,145,95.4,93.5
2013,03,76,4º Ano - NCM,647,520,127,80.4,91.1
2013,03,77,7º Ano - NJM,675,616,59,91.3,90.3
2013,03,81,Realfabetização 1,639,436,203,68.2,89.6
2013,03,83,Realfabetização 2,77,65,12,84.4,85.6
2013,03,84,Aceleração 1,112,101,11,90.2,88.6
2013,03,87,Aceleração 2A,167,156,11,93.4,96.1
2013,03,89,Aceleração 3,226,213,13,94.2,96.6
2013,03,99,Total,41132,36705,4427,89.2,92.4
